name,url of google scholar,numer of publications
Baishakhi Ray,https://scholar.google.com/citations?user=VaAEb5YAAAAJ&hl=en&oi=ao,18
Mahmut T. Kandemir,https://scholar.google.com/citations?user=j67v24EAAAAJ&hl=en&oi=ao,38
Hong Hu 0004,https://scholar.google.com/citations?user=3aaJwkoAAAAJ&hl=en&oi=ao,18
Shan Lu 0001,https://scholar.google.com/citations?user=9Ee76gwAAAAJ&hl=en&oi=ao,26
Frederic T. Chong,https://scholar.google.com/citations?user=U6OVPVMAAAAJ&hl=en&oi=ao,25
Henry Hoffmann,https://scholar.google.com/citations?user=COjq9XUAAAAJ&hl=en&oi=ao,19
Bo Li 0026,https://scholar.google.com/citations?user=K8vJkTcAAAAJ&hl=en&oi=ao,19
Ting Wang 0006,https://scholar.google.com/citations?user=cwcBTegAAAAJ&hl=en&oi=ao,31
Nick Nikiforakis,https://scholar.google.com/citations?user=VgrmjeYAAAAJ&hl=en&oi=ao,19
Dongyoon Lee,https://scholar.google.com/citations?user=eoRn6NkAAAAJ&hl=en&oi=ao,18
Guoqing Harry Xu,https://scholar.google.com/citations?user=DS6rCasAAAAJ&hl=en&oi=ao,29
Miryung Kim,https://scholar.google.com/citations?user=a_50FBsAAAAJ&hl=en&oi=ao,20
Gennady Pekhimenko,https://scholar.google.com/citations?user=ZgqVLuMAAAAJ&hl=en&oi=ao,18
Shouling Ji,https://scholar.google.com/citations?user=5HoF_9oAAAAJ&hl=en&oi=ao,38
Kui Ren 0001,https://scholar.google.com/citations?user=uuQA_rcAAAAJ&hl=en&oi=ao,35
Wenyuan Xu 0001,https://scholar.google.com/citations?user=FCsdj0YAAAAJ&hl=en&oi=ao,28
Yajin Zhou,https://scholar.google.com/citations?user=N1oeOPwAAAAJ&hl=en&oi=ao,26
